PONEDELJEK,TOREK,SREDA,ČETRTEK,PETEK
ŠMARJE PRI JELŠAH,ŠMARJE PRI JELŠAH,ŠMARJE PRI JELŠAH,ŠMARJE PRI JELŠAH,ŠMARJE PRI JELŠAH
Grliče,Babna Brda,Belo,Bodrež,Beli potok
Hajnsko,Babna Gora,Bezgovica,Bodrišna vas,Jerovska vas
Kristan vrh,Babna Reka,Bobovo,Brecljevo,Lemberg
Laše,Brezje pri Lekmarju,Dol pri Šmarju,Cerovec/Šmarje,Nova vas
PODČETRTEK,Bukovje v Babni Gori,Dol/Mestinje,Globoko,Pečica 
Cmereška Gorca,Grobelce,Dragomilo,Gornja vas,Pijovci
Golobinjek,Lekmarje,Dvor,Jazbine,Polžanska gorca
Gostinca,Lipovec-del,Gaj,Ješovec,Polžanska vas
Imeno,Orehovec,Grobelno,Kamenik,Sladka gora
Imenska Gorca,Sp. Tinsko-del,Lipovec-del,Konuško,Topolovec
Olimje,Sveti Štefan,Mala Pristava,Koretno,ROGATEC
Pecelj,Zg. Tinsko,Mestinje,Korpule,Brezovec/Rogatec
Podčetrtek,KOZJE,Močle,Krtince,Dobovec
Polje ob Sotli,Dobležiče-del,Platinovec,Predenca,Donačka gora
Prelasko,Drensko rebro,Predel  ,Preloge,Log - del
Pristava/Mestinje,Gradišče,Pustike,Rakovec,Rogatec
Roginska Gorca,Gubno,Senovica,Sp. Ponkvica,Sv. Jurij
Rudnica,Ješovec,Sotensko ,Strtenica,Tlake - del
Sedlarjevo,Klake,Sp. Selce,Šerovo,Trlično
Sela,Kozje,Stranje,Škofija,Žahenberc
Sodna vas,Lesično,Strtenica - del,Šmarje pri Jelšah,KOZJE
Verače,Pilštanj,Šentvid pri Grobelnem,Topolovec,Bistrica pri Lesičnem
Virštanj,Podsreda,Vodenovo,Vinski vrh,Gorjane - del
Dol pri Pristavi,Zdole,Vrh,Vršna vas,Osredek
ROGAŠKA SLATINA,Zeče pri Bučah - del,Zastranje,Zadrže,Poklek - del
Celjska-del,Topolovo,Završe pri Grobelnem,BISTRICA OB SOTLI,Vetrnik - del
Ulica Ele Peroci,PODČETRTEK,Zibika,Črešnjevec,Vojsko - del
Gozdna,Brezovec/Polje,Zibiška vas,Dekmanca,Zagorje 
Gubčeva,Jerčin,PODČETRTEK,Hrastje,ROGAŠKA SLATINA
Kozjanskega odr.,Lastnič,Pristava pri mestinju- del,Križan Vrh,Cvetlični hrib
Linhartova,Nezbiše- del,Nezbiše- del,Srebrnik,Ivanov hrib
Lovska,Pristava/Lesično,Olimje- del,Ples ,Janina
Na trati,Sveta Ema,Vonarje -del,Polje pri Bistrici,Ločendol
Ob progi,Vidovica,ROGATEC,Trebče,Partizanska
Plečnikova,Vonarje,Log - del,Zagaj,Zdraviliški trg
Prvomajska-del,BISTRICA OB SOTLI,KOZJE,Kunšperk,Cerovec pod Bočem-del
Prešernova,Bistrica ob Sotli,Buče,KOZJE,Čača vas-del
Ratanska vas - del,ROGAŠKA SLATINA,Ortnice,Gorjane - del,Drevenik
Slomškova,Celjska-del,Vrenska gorca,Poklek - del,Gabrovec
Vegova,Cesta na Boč,Zeče pri Bučah - del,Vetrnik - del,Podplat
Ulica Zrinjskega,Izletniška,ROGAŠKA SLATINA,Vojsko - del,Sp. Kostrivnica
Župančičeva,Kidričeva-del,Aškerčeva,ROGAŠKA SLATINA,Sp. Sečovo - del
Žibernik,Mladinska,Brestovška,Cesta na Bellevue,Spodnji Gabernik-del
Kačji dol,Prvomajska-del,Cankarjeva,Cesta padlih aktivistov NOB,Tuncovec
Sp. Negonje,Ratanska vas - del,Čača vas-del,Kajuhova,Zagaj
Strmec,Spodnja cesta,Kidričeva-del,Kidričeva-del,Kamna gorca - del
Sv. Florjan,Šlandrova,Knežec,Kot,Zg. Kostrivnica
Tekačevo,Tavčarjeva,Levstikova,Krpanova,Zgornji Gabernik
Zg. Negonje,Ulica Kozara,Sotelska,Kvedrova, 
Sp. Sečovo - del,Zdraviliški trg,Strma,Lastine , 
Kamna gorca - del,Ceste,Tržaški hrib,Na livadi, 
Zg.Sečovo,Cerovec pod Bočem-del,Ulica XIV.divizije,Pod Bellevuem, 
Male rodne - del,Gaberce,Vid Ivanuševa,Ratanska vas - del, 
ROGATEC,Irje-del,Zlatorogova,Sončna, 
Tlake - del,Plat,Brestovec,Steklarska, 
ŠMARJE PRI JELŠAH, ,Kamence,Stritarjeva, 
Sp. Tinsko-del, ,Male Rodne,Ulica talcev, 
KOZJE, ,Nimno,Brezje, 
Dobležiče-del, ,Irje -del,Gradiški dol, 
 , ,Pristavica,Kamna gorca-del, 
 , ,Prnek,Podturn, 
 , ,Rajnkovec,Rjavica, 
 , ,Topole,Spodnji Gabernik-del, 
 , ,Velike Rodne,Tržišče, 
 , ,Vinec, ,
